Series ID,Area,Datatype,Industry,Ownership,Size,year,period,periodName,value,footnotes
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M07,July,705333,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M06,June,709126,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M05,May,704757,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M04,April,698105,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M03,March,692549,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M02,February,689340,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M01,January,688589,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M12,December,702657,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M11,November,702411,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M10,October,701083,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M09,September,698868,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M08,August,696048,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M07,July,697339,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M06,June,704339,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M05,May,697687,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M04,April,692113,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M03,March,684443,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M02,February,681158,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2017,M01,January,680907,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M12,December,694196,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M11,November,695612,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M10,October,692129,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M09,September,690984,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M08,August,689469,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M07,July,693009,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M06,June,699180,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M05,May,693159,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M04,April,688121,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M03,March,679065,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M02,February,674323,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2016,M01,January,673949,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M12,December,692115,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M11,November,692613,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M10,October,689379,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M09,September,687744,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M08,August,686549,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M07,July,688659,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M06,June,695959,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M05,May,691014,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M04,April,682743,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M03,March,675102,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M02,February,671500,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2015,M01,January,672715,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M12,December,689089,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M11,November,688016,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M10,October,687785,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M09,September,685154,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M08,August,683079,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M07,July,684569,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M06,June,694631,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M05,May,689121,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M04,April,680865,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M03,March,674063,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M02,February,670021,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2014,M01,January,671396,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M12,December,690108,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M11,November,689465,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M10,October,687944,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M09,September,685383,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M08,August,681792,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M07,July,685149,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M06,June,695153,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M05,May,688876,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M04,April,682583,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M03,March,677999,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M02,February,674118,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2013,M01,January,672797,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M12,December,689858,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M11,November,690452,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M10,October,688534,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M09,September,685445,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M08,August,681171,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M07,July,682933,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M06,June,694650,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M05,May,686631,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M04,April,681420,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M03,March,676819,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M02,February,670445,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2012,M01,January,669738,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M12,December,685664,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M11,November,685223,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M10,October,683353,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M09,September,679780,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M08,August,673209,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M07,July,675590,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M06,June,687358,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M05,May,681134,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M04,April,674348,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M03,March,667333,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M02,February,662104,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2011,M01,January,662326,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M12,December,676308,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M11,November,676849,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M10,October,674617,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M09,September,671720,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M08,August,667978,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M07,July,668767,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M06,June,678676,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M05,May,672844,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M04,April,664563,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M03,March,656558,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M02,February,648856,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2010,M01,January,652379,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M12,December,670347,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M11,November,671066,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M10,October,669561,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M09,September,667381,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M08,August,662833,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M07,July,664879,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M06,June,679253,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M05,May,675308,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M04,April,667807,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M03,March,665025,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M02,February,663842,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2009,M01,January,664729,[{}]
