area_code,"area_name"
42220,"Santa Rosa, CA"
44700,"Stockton-Lodi, CA"
46700,"Vallejo-Fairfield, CA"
47300,"Visalia-Porterville, CA"
49700,"Yuba City, CA"
-1,NA
14500,"Boulder, CO"
17820,"Colorado Springs, CO"
19740,"Denver-Aurora-Lakewood, CO"
22660,"Fort Collins, CO"
24300,"Grand Junction, CO"
24540,"Greeley, CO"
39380,"Pueblo, CO"
-1,NA
20100,"Dover, DE"
-1,NA
15980,"Cape Coral-Fort Myers, FL"
18880,"Crestview-Fort Walton Beach-Destin, FL"
19660,"Deltona-Daytona Beach-Ormond Beach, FL"
23540,"Gainesville, FL"
26140,"Homosassa Springs, FL"
27260,"Jacksonville, FL"
29460,"Lakeland-Winter Haven, FL"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
34940,"Naples-Immokalee-Marco Island, FL"
35840,"North Port-Sarasota-Bradenton, FL"
36100,"Ocala, FL"
36740,"Orlando-Kissimmee-Sanford, FL"
37340,"Palm Bay-Melbourne-Titusville, FL"
37460,"Panama City, FL"
37860,"Pensacola-Ferry Pass-Brent, FL"
38940,"Port St. Lucie, FL"
39460,"Punta Gorda, FL"
42680,"Sebastian-Vero Beach, FL"
42700,"Sebring, FL"
45220,"Tallahassee, FL"
45300,"Tampa-St. Petersburg-Clearwater, FL"
45540,"The Villages, FL"
-1,NA
10500,"Albany, GA"
12020,"Athens-Clarke County, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA"
15260,"Brunswick, GA"
19140,"Dalton, GA"
23580,"Gainesville, GA"
25980,"Hinesville, GA"
31420,"Macon-Bibb County, GA"
40660,"Rome, GA"
42340,"Savannah, GA"
46660,"Valdosta, GA"
47580,"Warner Robins, GA"
-1,NA
27980,"Kahului-Wailuku-Lahaina, HI"
46520,"Urban Honolulu, HI"
-1,NA
11180,"Ames, IA"
16300,"Cedar Rapids, IA"
19780,"Des Moines-West Des Moines, IA"
20220,"Dubuque, IA"
26980,"Iowa City, IA"
47940,"Waterloo-Cedar Falls, IA"
-1,NA
14260,"Boise City, ID"
17660,"Coeur d'Alene, ID"
26820,"Idaho Falls, ID"
38540,"Pocatello, ID"
46300,"Twin Falls, ID"
-1,NA
14010,"Bloomington, IL"
16060,"Carbondale-Marion, IL"
16580,"Champaign-Urbana, IL"
19180,"Danville, IL"
19500,"Decatur, IL"
28100,"Kankakee, IL"
37900,"Peoria, IL"
40420,"Rockford, IL"
44100,"Springfield, IL"
-1,NA
14020,"Bloomington, IN"
18020,"Columbus, IN"
21140,"Elkhart-Goshen, IN"
23060,"Fort Wayne, IN"
26900,"Indianapolis-Carmel-Anderson, IN"
29020,"Kokomo, IN"
29200,"Lafayette-West Lafayette, IN"
33140,"Michigan City-La Porte, IN"
34620,"Muncie, IN"
45460,"Terre Haute, IN"
-1,NA
29940,"Lawrence, KS"
31740,"Manhattan, KS"
45820,"Topeka, KS"
48620,"Wichita, KS"
92812,"Kansas City, KS"
-1,NA
14540,"Bowling Green, KY"
21060,"Elizabethtown-Fort Knox, KY"
30460,"Lexington-Fayette, KY"
36980,"Owensboro, KY"
-1,NA
10780,"Alexandria, LA"
12940,"Baton Rouge, LA"
25220,"Hammond, LA"
26380,"Houma-Thibodaux, LA"
29180,"Lafayette, LA"
29340,"Lake Charles, LA"
33740,"Monroe, LA"
35380,"New Orleans-Metairie, LA"
43340,"Shreveport-Bossier City, LA"
-1,NA
12580,"Baltimore-Columbia-Towson, MD"
15680,"California-Lexington Park, MD"
92581,"Baltimore City, MD"
94781,"Calvert-Charles-Prince George's, MD"
-1,NA
11460,"Ann Arbor, MI"
12980,"Battle Creek, MI"
13020,"Bay City, MI"
19820,"Detroit-Warren-Dearborn, MI"
22420,"Flint, MI"
24340,"Grand Rapids-Wyoming, MI"
27100,"Jackson, MI"
28020,"Kalamazoo-Portage, MI"
29620,"Lansing-East Lansing, MI"
33220,"Midland, MI"
33780,"Monroe, MI"
34740,"Muskegon, MI"
35660,"Niles-Benton Harbor, MI"
40980,"Saginaw, MI"
-1,NA
31860,"Mankato-North Mankato, MN"
40340,"Rochester, MN"
41060,"St. Cloud, MN"
-1,NA
17860,"Columbia, MO"
27620,"Jefferson City, MO"
27900,"Joplin, MO"
44180,"Springfield, MO"
92811,"Kansas City, MO"
-1,NA
25060,"Gulfport-Biloxi-Pascagoula, MS"
25620,"Hattiesburg, MS"
27140,"Jackson, MS"
-1,NA
13740,"Billings, MT"
24500,"Great Falls, MT"
33540,"Missoula, MT"
-1,NA
11700,"Asheville, NC"
15500,"Burlington, NC"
20500,"Durham-Chapel Hill, NC"
22180,"Fayetteville, NC"
24140,"Goldsboro, NC"
24660,"Greensboro-High Point, NC"
24780,"Greenville, NC"
25860,"Hickory-Lenoir-Morganton, NC"
27340,"Jacksonville, NC"
35100,"New Bern, NC"
39580,"Raleigh, NC"
40580,"Rocky Mount, NC"
48900,"Wilmington, NC"
49180,"Winston-Salem, NC"
-1,NA
13900,"Bismarck, ND"
-1,NA
24260,"Grand Island, NE"
30700,"Lincoln, NE"
-1,NA
12100,"Atlantic City-Hammonton, NJ"
36140,"Ocean City, NJ"
45940,"Trenton, NJ"
47220,"Vineland-Bridgeton, NJ"
93563,"Bergen-Hudson-Passaic, NJ"
93565,"Middlesex-Monmouth-Ocean, NJ"
-1,NA
10740,"Albuquerque, NM"
22140,"Farmington, NM"
29740,"Las Cruces, NM"
42140,"Santa Fe, NM"
-1,NA
16180,"Carson City, NV"
29820,"Las Vegas-Henderson-Paradise, NV"
39900,"Reno, NV"
-1,NA
10580,"Albany-Schenectady-Troy, NY"
13780,"Binghamton, NY"
15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
21300,"Elmira, NY"
24020,"Glens Falls, NY"
27060,"Ithaca, NY"
28740,"Kingston, NY"
40380,"Rochester, NY"
45060,"Syracuse, NY"
46540,"Utica-Rome, NY"
48060,"Watertown-Fort Drum, NY"
93561,"New York City, NY"
93562,"Orange-Rockland-Westchester, NY"
-1,NA
10420,"Akron, OH"
15940,"Canton-Massillon, OH"
17460,"Cleveland-Elyria, OH"
18140,"Columbus, OH"
19380,"Dayton, OH"
30620,"Lima, OH"
31900,"Mansfield, OH"
44220,"Springfield, OH"
45780,"Toledo, OH"
-1,NA
21420,"Enid, OK"
30020,"Lawton, OK"
36420,"Oklahoma City, OK"
46140,"Tulsa, OK"
-1,NA
10540,"Albany, OR"
13460,"Bend-Redmond, OR"
18700,"Corvallis, OR"
21660,"Eugene, OR"
24420,"Grants Pass, OR"
32780,"Medford, OR"
41420,"Salem, OR"
-1,NA
10380,"Aguadilla-Isabela, PR"
11640,"Arecibo, PR"
25020,"Guayama, PR"
32420,"Mayaguez, PR"
38660,"Ponce, PR"
41900,"San German, PR"
41980,"San Juan-Carolina-Caguas, PR"
-1,NA
16700,"Charleston-North Charleston, SC"
17900,"Columbia, SC"
22500,"Florence, SC"
24860,"Greenville-Anderson-Mauldin, SC"
25940,"Hilton Head Island-Bluffton-Beaufort, SC"
43900,"Spartanburg, SC"
44940,"Sumter, SC"
-1,NA
39660,"Rapid City, SD"
43620,"Sioux Falls, SD"
-1,NA
17420,"Cleveland, TN"
27180,"Jackson, TN"
27740,"Johnson City, TN"
28940,"Knoxville, TN"
34100,"Morristown, TN"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
-1,NA
10180,"Abilene, TX"
11100,"Amarillo, TX"
12420,"Austin-Round Rock, TX"
13140,"Beaumont-Port Arthur, TX"
15180,"Brownsville-Harlingen, TX"
17780,"College Station-Bryan, TX"
18580,"Corpus Christi, TX"
19100,"Dallas-Fort Worth-Arlington, TX"
21340,"El Paso, TX"
26420,"Houston-The Woodlands-Sugar Land, TX"
28660,"Killeen-Temple, TX"
29700,"Laredo, TX"
30980,"Longview, TX"
31180,"Lubbock, TX"
32580,"McAllen-Edinburg-Mission, TX"
33260,"Midland, TX"
36220,"Odessa, TX"
41660,"San Angelo, TX"
41700,"San Antonio-New Braunfels, TX"
43300,"Sherman-Denison, TX"
46340,"Tyler, TX"
47020,"Victoria, TX"
47380,"Waco, TX"
48660,"Wichita Falls, TX"
-1,NA
36260,"Ogden-Clearfield, UT"
39340,"Provo-Orem, UT"
41100,"St. George, UT"
41620,"Salt Lake City, UT"
-1,NA
13980,"Blacksburg-Christiansburg-Radford, VA"
16820,"Charlottesville, VA"
25500,"Harrisonburg, VA"
31340,"Lynchburg, VA"
40060,"Richmond, VA"
40220,"Roanoke, VA"
44420,"Staunton-Waynesboro, VA"
94783,"Northern Virginia, VA"
-1,NA
13380,"Bellingham, WA"
14740,"Bremerton-Silverdale, WA"
28420,"Kennewick-Richland, WA"
31020,"Longview, WA"
34580,"Mount Vernon-Anacortes, WA"
36500,"Olympia-Tumwater, WA"
42660,"Seattle-Tacoma-Bellevue, WA"
44060,"Spokane-Spokane Valley, WA"
47460,"Walla Walla, WA"
48300,"Wenatchee, WA"
49420,"Yakima, WA"
-1,NA
11540,"Appleton, WI"
20740,"Eau Claire, WI"
22540,"Fond du Lac, WI"
24580,"Green Bay, WI"
27500,"Janesville-Beloit, WI"
31540,"Madison, WI"
33340,"Milwaukee-Waukesha-West Allis, WI"
36780,"Oshkosh-Neenah, WI"
39540,"Racine, WI"
43100,"Sheboygan, WI"
48140,"Wausau, WI"
-1,NA
13220,"Beckley, WV"
16620,"Charleston, WV"
34060,"Morgantown, WV"
37620,"Parkersburg-Vienna, WV"
-1,NA
16220,"Casper, WY"
16940,"Cheyenne, WY"
-2,NA
00000,Statewide
10900,"Allentown-Bethlehem-Easton, PA-NJ"
11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division"
12260,"Augusta-Richmond County, GA-SC"
15804,"Camden, NJ Metropolitan Division"
16020,"Cape Girardeau, MO-IL"
16740,"Charlotte-Concord-Gastonia, NC-SC"
16860,"Chattanooga, TN-GA"
16974,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division"
16980,"Chicago-Naperville-Elgin, IL-IN-WI"
17140,"Cincinnati, OH-KY-IN"
17300,"Clarksville, TN-KY"
17980,"Columbus, GA-AL"
19060,"Cumberland, MD-WV"
19124,"Dallas-Plano-Irving, TX Metropolitan Division"
19340,"Davenport-Moline-Rock Island, IA-IL"
19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division"
20260,"Duluth, MN-WI"
20524,"Dutchess County-Putnam County, NY Metropolitan Division"
20994,"Elgin, IL Metropolitan Division"
21780,"Evansville, IN-KY"
22020,"Fargo, ND-MN"
22220,"Fayetteville-Springdale-Rogers, AR-MO"
22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division"
22900,"Fort Smith, AR-OK"
23104,"Fort Worth-Arlington, TX Metropolitan Division"
23844,"Gary, IN Metropolitan Division"
24220,"Grand Forks, ND-MN"
25180,"Hagerstown-Martinsburg, MD-WV"
26580,"Huntington-Ashland, WV-KY-OH"
28140,"Kansas City, MO-KS"
28700,"Kingsport-Bristol-Bristol, TN-VA"
29100,"La Crosse-Onalaska, WI-MN"
29404,"Lake County-Kenosha County, IL-WI Metropolitan Division"
30300,"Lewiston, ID-WA"
30860,"Logan, UT-ID"
31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division"
31140,"Louisville/Jefferson County, KY-IN"
32820,"Memphis, TN-MS-AR"
33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
33874,"Montgomery County-Bucks County-Chester County, PA Metropolitan Division"
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
35004,"Nassau County-Suffolk County, NY Metropolitan Division"
35084,"Newark, NJ-PA Metropolitan Division"
35614,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division"
35620,"New York-Newark-Jersey City, NY-NJ-PA"
36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division"
36540,"Omaha-Council Bluffs, NE-IA"
37964,"Philadelphia, PA Metropolitan Division"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
38900,"Portland-Vancouver-Hillsboro, OR-WA"
41140,"St. Joseph, MO-KS"
41180,"St. Louis, MO-IL"
41540,"Salisbury, MD-DE"
41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division"
42034,"San Rafael, CA Metropolitan Division"
42644,"Seattle-Bellevue-Everett, WA Metropolitan Division"
43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division"
43580,"Sioux City, IA-NE-SD"
43780,"South Bend-Mishawaka, IN-MI"
45104,"Tacoma-Lakewood, WA Metropolitan Division"
45500,"Texarkana, TX-AR"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division"
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
48260,"Weirton-Steubenville, WV-OH"
48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division"
48540,"Wheeling, WV-OH"
48864,"Wilmington, DE-MD-NJ Metropolitan Division"
49020,"Winchester, VA-WV"
49660,"Youngstown-Warren-Boardman, OH-PA"
70750,"Bangor, ME NECTA"
70900,"Barnstable Town, MA NECTA"
71650,"Boston-Cambridge-Nashua, MA-NH NECTA"
71654,"Boston-Cambridge-Newton, MA NECTA Division"
71950,"Bridgeport-Stamford-Norwalk, CT NECTA"
72104,"Brockton-Bridgewater-Easton, MA NECTA Division"
72400,"Burlington-South Burlington, VT NECTA"
72850,"Danbury, CT NECTA"
73050,"Dover-Durham, NH-ME NECTA"
73104,"Framingham, MA NECTA Division"
73450,"Hartford-West Hartford-East Hartford, CT NECTA"
73604,"Haverhill-Newburyport-Amesbury Town, MA-NH NECTA Division"
74204,"Lawrence-Methuen Town-Salem, MA-NH NECTA Division"
74500,"Leominster-Gardner, MA NECTA"
74650,"Lewiston-Auburn, ME NECTA"
74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division"
74854,"Lynn-Saugus-Marblehead, MA NECTA Division"
74950,"Manchester, NH NECTA"
75404,"Nashua, NH-MA NECTA Division"
75550,"New Bedford, MA NECTA"
75700,"New Haven, CT NECTA"
76450,"Norwich-New London-Westerly, CT-RI NECTA"
76524,"Peabody-Salem-Beverly, MA NECTA Division"
76600,"Pittsfield, MA NECTA"
76750,"Portland-South Portland, ME NECTA"
76900,"Portsmouth, NH-ME NECTA"
77200,"Providence-Warwick, RI-MA NECTA"
78100,"Springfield, MA-CT NECTA"
78254,"Taunton-Middleborough-Norton, MA NECTA Division"
78700,"Waterbury, CT NECTA"
79600,"Worcester, MA-CT NECTA"
